date,open,high,low,close,volume,oi
2024-01-02,84.82,85.57,78.91,80.28,22440,246427
2024-01-03,80.49,82.12,80.33,81.67,15814,245981
2024-01-04,81.81,82.61,79.15,80.14,18261,247085
2024-01-05,80.17,81.09,79.53,80.67,12276,246559
2024-01-08,80.31,80.52,76.25,76.74,21593,247220
2024-01-09,76.31,77.17,75.44,76.26,18152,247917
2024-01-10,76.14,77.12,73.57,74.31,23712,252367
2024-01-11,74.40,74.63,71.30,72.24,30136,256467
2024-01-12,72.37,73.77,69.05,70.13,30253,260801
2024-01-15,70.32,71.84,68.93,71.57,25102,259218
2024-01-16,71.30,71.72,69.34,69.91,26136,260611
2024-01-17,69.71,70.44,67.18,67.47,29878,261762
2024-01-18,67.43,68.45,66.78,67.33,22395,263531
2024-01-19,67.69,68.67,67.25,67.97,20192,264703
2024-01-22,67.47,67.47,65.18,66.36,25424,265672
2024-01-23,66.43,68.12,65.92,67.37,24453,264950
2024-01-24,67.68,70.43,67.43,70.14,26517,263929
2024-01-25,70.47,70.75,67.20,67.53,31173,268418
2024-01-26,67.47,69.47,66.32,67.90,25932,269839
2024-01-29,67.92,68.45,65.89,66.10,28387,269994
2024-01-30,66.03,68.34,65.55,67.83,29131,272609
2024-01-31,68.30,69.47,67.26,68.48,23711,272614
2024-02-01,68.48,69.20,66.40,66.51,27170,275328
2024-02-02,66.29,68.70,66.22,67.72,25593,275630
2024-02-05,68.12,68.77,66.39,66.99,22594,277917
2024-02-06,67.11,68.29,66.32,67.90,22237,278078
2024-02-07,67.67,68.02,66.56,66.73,19327,277076
2024-02-08,66.82,66.82,64.58,65.10,29403,280639
2024-02-09,65.00,65.00,62.52,63.11,31446,284512
2024-02-12,62.96,63.13,60.91,61.21,27933,286130
2024-02-13,61.52,62.32,59.93,60.75,32485,287140
2024-02-14,60.97,61.90,59.73,60.95,29361,286484
2024-02-15,60.76,63.37,60.45,62.23,31537,285842
2024-02-16,62.18,62.53,60.59,61.49,23354,286053
2024-02-19,61.43,61.43,57.22,57.86,37617,290705
2024-02-20,57.82,59.39,56.04,58.63,35225,288407
2024-02-21,58.37,59.30,57.59,58.87,23689,288096
2024-02-22,58.63,58.81,56.69,57.12,31325,289539
2024-02-23,57.12,57.33,55.40,56.54,31097,289803
2024-02-26,56.48,58.87,55.87,58.29,30666,289628
2024-02-27,58.08,60.58,56.77,60.00,36340,287829
2024-02-28,60.52,63.20,59.77,62.16,46006,283709
2024-02-29,61.85,62.15,59.57,60.32,33973,281610
2024-03-01,60.35,61.17,59.37,60.69,24889,282907
2024-03-04,60.67,62.12,57.74,61.35,40357,286353
2024-03-05,61.60,65.71,61.02,64.86,59671,282222
2024-03-06,64.57,67.12,62.37,63.55,53980,282480
2024-03-07,63.11,65.41,61.72,63.48,45344,285313
2024-03-08,63.32,64.56,62.12,62.71,32550,287330
2024-03-11,62.32,62.71,60.09,60.53,32853,289219
2024-03-12,60.58,61.40,59.53,60.83,34864,289607
2024-03-13,61.18,62.24,59.85,60.36,33194,293878
2024-03-14,60.26,63.68,59.34,62.77,37897,289989
2024-03-15,63.12,64.57,62.46,63.71,38703,294097
2024-03-18,63.77,66.66,63.77,65.75,41647,295129
2024-03-19,65.73,67.21,63.82,65.16,32342,293112
2024-03-20,65.62,65.78,64.29,64.94,24031,292958
2024-03-21,64.50,64.62,63.12,63.39,28068,294791
2024-03-22,63.47,66.38,63.12,65.83,31005,297063
2024-03-25,66.01,69.81,66.00,69.32,36881,297131
2024-03-26,68.96,70.10,66.48,66.60,39899,299462
2024-03-27,66.82,67.63,65.36,66.75,29533,303156
2024-03-28,66.82,67.21,65.64,66.12,21555,305049
2024-04-02,65.80,65.82,62.88,63.04,31990,305461
2024-04-03,63.61,63.81,61.22,61.73,26576,303974
2024-04-04,61.41,63.56,61.41,62.82,26054,303135
2024-04-05,62.68,65.47,62.57,64.90,30835,301216
2024-04-08,65.22,68.12,64.01,67.83,37163,301156
2024-04-09,67.71,68.96,66.82,68.39,41638,290662
2024-04-10,68.14,69.42,66.61,67.19,30554,292220
2024-04-11,67.57,73.27,67.12,72.35,54795,290698
2024-04-12,72.92,76.19,72.38,75.87,52417,289544
2024-04-15,75.92,75.96,73.42,74.87,35524,287937
2024-04-16,74.57,79.22,74.07,77.94,43735,286818
2024-04-17,78.45,78.82,73.55,74.30,42918,285563
2024-04-18,74.22,76.61,72.47,75.85,40868,283273
2024-04-19,76.83,77.62,72.42,73.13,32412,282241
2024-04-22,72.41,72.51,70.33,70.65,38294,286331
2024-04-23,70.56,71.56,69.66,69.99,31308,288230
2024-04-24,70.57,71.79,69.07,70.79,30108,292075
2024-04-25,71.32,74.29,70.86,72.71,36770,295607
2024-04-26,72.53,73.52,70.89,71.24,21468,297800
2024-04-29,71.32,71.68,69.33,69.81,21882,299350
2024-04-30,70.27,73.92,69.70,72.84,31133,300518
2024-05-01,73.51,73.58,71.67,72.14,13263,300835
2024-05-02,72.20,77.51,71.53,76.83,48552,305873
2024-05-03,76.85,78.88,75.69,76.33,34658,304693
2024-05-06,76.06,78.81,75.80,77.52,20614,306017
2024-05-07,77.57,78.62,74.82,75.30,37056,311125
2024-05-08,75.21,77.12,73.90,76.01,26168,311572
2024-05-09,75.71,78.40,75.45,77.58,17429,312377
2024-05-10,77.82,79.82,75.59,76.23,25330,313285
2024-05-13,75.65,75.81,73.02,74.13,30747,313456
2024-05-14,74.34,75.64,73.34,74.54,20492,315931
2024-05-15,74.52,76.17,73.41,73.78,24297,318191
2024-05-16,73.41,75.60,73.20,74.42,25314,321366
2024-05-17,74.82,75.87,73.90,75.01,22632,322522
2024-05-20,75.32,79.22,75.32,78.54,35750,323298
2024-05-21,78.50,80.96,77.37,80.57,34332,325214
2024-05-22,80.30,81.82,79.82,80.53,29254,325224
2024-05-23,80.72,82.42,79.82,80.13,32467,326314
2024-05-24,80.32,81.02,78.17,79.93,23462,326226
2024-05-27,80.02,81.32,79.82,80.57,11805,326832
2024-05-28,80.32,80.57,78.41,78.90,27539,329293
2024-05-29,78.82,79.92,77.27,78.18,21858,329544
2024-05-30,78.11,80.23,77.69,79.80,24171,329425
2024-05-31,79.80,80.80,78.17,78.42,24059,329627
2024-06-03,78.72,82.13,78.55,78.89,33956,330170
2024-06-04,78.89,79.03,76.59,76.65,34073,330000
2024-06-05,77.05,77.64,75.26,76.14,31464,330342
2024-06-06,76.12,77.39,75.57,76.42,23849,330186
2024-06-07,76.21,76.21,75.33,75.71,19785,331118
2024-06-10,75.46,75.52,73.60,75.12,31217,331242
2024-06-11,75.12,76.49,74.19,74.95,29535,333575
2024-06-12,74.57,76.17,74.29,75.06,23168,333805
2024-06-13,74.62,76.32,74.62,75.03,24587,334373
2024-06-14,75.07,75.41,72.49,72.60,39780,338682
2024-06-17,72.82,73.62,71.83,72.31,26687,338785
2024-06-18,72.58,73.57,72.03,72.82,37155,346400
2024-06-19,73.19,75.13,72.82,74.65,28287,342582
2024-06-20,74.92,75.92,73.37,73.54,25283,342937
2024-06-21,73.85,73.85,72.26,72.45,28267,349260
2024-06-24,72.34,72.60,71.33,71.67,31847,353485
2024-06-25,71.77,72.39,71.17,72.24,25633,354577
2024-06-26,72.51,73.41,71.11,71.25,25990,355843
