date,time,open,high,low,close,volume
2024-01-02,16:00:00,82.5,82.5,82.5,82.5,3.0
2024-01-02,18:00:00,81.0,81.0,81.0,81.0,2.0
2024-01-02,21:00:00,81.0,81.0,81.0,81.0,1.0
2024-01-02,22:00:00,80.04,80.04,79.93,79.93,3.0
2024-01-03,18:00:00,81.8,81.8,81.8,81.8,2.0
2024-01-03,23:00:00,82.0,82.0,82.0,82.0,8.0
2024-01-04,18:00:00,82.9,82.9,82.9,82.9,1.0
2024-01-04,20:00:00,82.2,82.3,82.2,82.3,37.0
2024-01-04,21:00:00,82.0,82.0,81.7,81.7,19.0
2024-01-04,22:00:00,81.59,81.59,80.09,80.09,16.0
2024-01-05,00:00:00,80.23,80.5,80.22,80.5,18.0
2024-01-05,18:00:00,81.22,81.22,80.95,80.95,34.0
2024-01-05,20:00:00,81.4,81.4,81.4,81.4,5.0
2024-01-06,00:00:00,81.05,81.1,81.05,81.1,7.0
2024-01-08,15:00:00,80.75,80.75,80.75,80.75,8.0
2024-01-08,17:00:00,79.11,79.11,78.74,78.74,24.0
2024-01-08,18:00:00,78.5,78.5,78.5,78.5,5.0
2024-01-08,19:00:00,78.5,78.5,78.45,78.45,3.0
2024-01-08,20:00:00,78.16,78.2,78.15,78.2,6.0
2024-01-08,21:00:00,78.35,78.44,78.27,78.28,37.0
2024-01-08,22:00:00,78.35,78.35,77.77,77.95,17.0
2024-01-09,00:00:00,77.19,77.19,76.81,76.81,13.0
2024-01-09,21:00:00,77.4,77.41,77.4,77.41,10.0
2024-01-09,22:00:00,76.76,76.76,76.6,76.6,7.0
2024-01-09,23:00:00,76.4,77.0,76.4,77.0,27.0
2024-01-10,15:00:00,77.31,77.31,77.31,77.31,1.0
2024-01-10,21:00:00,75.05,75.05,74.51,74.52,24.0
2024-01-10,22:00:00,74.63,74.69,74.63,74.69,24.0
2024-01-11,16:00:00,73.8,73.8,73.8,73.8,1.0
2024-01-11,17:00:00,73.8,73.8,73.8,73.8,9.0
2024-01-11,18:00:00,74.21,74.23,74.21,74.23,9.0
2024-01-11,20:00:00,72.8,72.8,72.6,72.63,20.0
2024-01-11,22:00:00,72.08,72.08,72.08,72.08,24.0
2024-01-11,23:00:00,71.92,72.19,71.8,72.19,20.0
2024-01-12,19:00:00,72.86,72.86,72.86,72.86,4.0
2024-01-12,20:00:00,72.3,72.3,72.15,72.15,52.0
2024-01-12,22:00:00,70.71,70.71,69.76,70.0,23.0
2024-01-12,23:00:00,70.0,70.0,70.0,70.0,4.0
2024-01-13,00:00:00,70.19,70.19,70.19,70.19,1.0
2024-01-15,16:00:00,69.59,69.68,69.59,69.68,5.0
2024-01-15,21:00:00,69.9,69.9,69.9,69.9,8.0
2024-01-15,22:00:00,71.0,71.0,71.0,71.0,18.0
2024-01-16,16:00:00,70.7,70.7,70.7,70.7,10.0
2024-01-16,17:00:00,70.1,70.1,69.83,69.83,27.0
2024-01-16,19:00:00,69.76,69.76,69.76,69.76,5.0
2024-01-16,20:00:00,70.5,70.5,70.5,70.5,12.0
2024-01-16,21:00:00,71.32,71.32,71.32,71.32,5.0
2024-01-16,22:00:00,70.96,70.96,70.5,70.5,7.0
2024-01-17,15:00:00,70.0,70.0,70.0,70.0,1.0
2024-01-17,16:00:00,69.41,69.45,69.41,69.45,5.0
2024-01-17,17:00:00,69.75,69.75,69.75,69.75,1.0
2024-01-17,18:00:00,70.35,70.35,69.88,69.88,16.0
2024-01-17,19:00:00,69.84,69.84,69.84,69.84,2.0
2024-01-17,20:00:00,69.08,69.08,69.0,69.0,6.0
2024-01-17,21:00:00,68.84,68.85,68.59,68.59,4.0
2024-01-17,22:00:00,68.3,68.3,68.3,68.3,2.0
2024-01-17,23:00:00,67.85,67.89,67.64,67.64,101.0
2024-01-18,16:00:00,68.44,68.46,68.44,68.46,4.0
2024-01-18,18:00:00,67.21,67.21,67.17,67.17,3.0
2024-01-18,19:00:00,67.6,67.6,67.6,67.6,3.0
2024-01-18,21:00:00,67.8,67.8,67.65,67.65,32.0
2024-01-18,22:00:00,67.59,67.59,67.59,67.59,8.0
