date,time,open,high,low,close,volume
2025-11-03,15:00:00,80.92,81.0,80.87,80.99,10.0
2025-11-03,15:05:00,81.0,81.08,81.0,81.08,18.0
2025-11-03,15:10:00,81.08,81.16,81.08,81.14,16.0
2025-11-03,15:15:00,81.14,81.14,81.1,81.1,3.0
2025-11-03,15:20:00,81.11,81.11,81.11,81.11,50.0
2025-11-03,15:30:00,81.12,81.2,81.1,81.2,3.0
2025-11-03,15:35:00,81.2,81.41,81.2,81.34,179.0
2025-11-03,15:45:00,81.44,81.44,81.42,81.42,4.0
2025-11-03,15:50:00,81.46,81.46,81.46,81.46,1.0
2025-11-03,15:55:00,81.42,81.42,81.36,81.36,4.0
2025-11-03,16:00:00,81.29,81.37,81.29,81.37,4.0
2025-11-03,16:05:00,81.44,81.52,81.4,81.4,5.0
2025-11-03,16:10:00,81.58,81.71,81.58,81.68,167.0
2025-11-03,16:15:00,81.59,81.59,81.59,81.59,5.0
2025-11-03,16:20:00,81.75,81.76,81.75,81.76,7.0
2025-11-03,16:25:00,81.77,81.85,81.77,81.82,71.0
2025-11-03,16:30:00,81.68,81.68,81.57,81.57,32.0
2025-11-03,16:35:00,81.56,81.6,81.53,81.53,15.0
2025-11-03,16:50:00,81.54,81.57,81.53,81.55,8.0
2025-11-03,16:55:00,81.5,81.5,81.5,81.5,1.0
2025-11-03,17:00:00,81.55,81.56,81.55,81.56,8.0
2025-11-03,17:05:00,81.63,81.63,81.61,81.61,9.0
2025-11-03,17:10:00,81.67,81.67,81.67,81.67,7.0
2025-11-03,17:15:00,81.71,81.71,81.61,81.62,15.0
2025-11-03,17:20:00,81.62,81.66,81.62,81.66,9.0
2025-11-03,17:25:00,81.65,81.65,81.63,81.63,6.0
2025-11-03,17:30:00,81.64,81.64,81.64,81.64,1.0
2025-11-03,17:35:00,81.64,81.64,81.53,81.53,11.0
2025-11-03,17:40:00,81.53,81.53,81.53,81.53,3.0
2025-11-03,17:45:00,81.56,81.56,81.52,81.52,15.0
2025-11-03,17:50:00,81.53,81.53,81.42,81.5,55.0
2025-11-03,17:55:00,81.51,81.51,81.47,81.47,19.0
2025-11-03,18:00:00,81.5,81.74,81.5,81.74,18.0
2025-11-03,18:05:00,81.8,81.85,81.8,81.84,17.0
2025-11-03,18:10:00,81.86,81.9,81.85,81.85,20.0
2025-11-03,18:15:00,81.96,82.0,81.89,82.0,66.0
2025-11-03,18:20:00,81.97,81.97,81.9,81.9,13.0
2025-11-03,18:25:00,82.05,82.06,81.99,82.05,51.0
2025-11-03,18:30:00,82.1,82.16,81.78,81.78,265.0
2025-11-03,18:35:00,81.83,81.95,81.81,81.95,3.0
2025-11-03,18:40:00,82.01,82.02,81.98,81.98,18.0
2025-11-03,18:45:00,82.02,82.07,82.01,82.01,12.0
2025-11-03,18:50:00,82.02,82.32,82.02,82.23,64.0
2025-11-03,18:55:00,82.34,82.53,82.33,82.53,46.0
2025-11-03,19:00:00,82.62,82.75,82.55,82.71,122.0
2025-11-03,19:05:00,82.67,82.7,82.62,82.62,34.0
2025-11-03,19:10:00,82.61,82.61,82.58,82.61,29.0
2025-11-03,19:15:00,82.55,82.74,82.55,82.74,42.0
2025-11-03,19:20:00,82.71,82.71,82.63,82.66,5.0
2025-11-03,19:25:00,82.7,82.73,82.69,82.71,32.0
2025-11-03,19:30:00,82.79,82.84,82.78,82.78,10.0
2025-11-03,19:35:00,82.78,82.78,82.63,82.63,10.0
2025-11-03,19:40:00,82.65,82.65,82.49,82.54,88.0
2025-11-03,19:45:00,82.63,82.63,82.62,82.62,3.0
2025-11-03,19:50:00,82.62,82.62,82.5,82.54,117.0
2025-11-03,19:55:00,82.58,82.58,82.52,82.54,11.0
2025-11-03,20:00:00,82.53,82.63,82.53,82.63,3.0
2025-11-03,20:05:00,82.65,82.65,82.59,82.59,6.0
2025-11-03,20:10:00,82.6,82.6,82.57,82.57,6.0
2025-11-03,20:15:00,82.65,82.76,82.65,82.76,26.0
2025-11-03,20:20:00,82.81,82.86,82.8,82.86,12.0
2025-11-03,20:25:00,82.92,82.94,82.9,82.9,29.0
2025-11-03,20:30:00,82.9,83.0,82.9,82.97,49.0
2025-11-03,20:35:00,82.94,82.98,82.89,82.95,24.0
2025-11-03,20:40:00,82.94,82.95,82.91,82.91,11.0
2025-11-03,20:45:00,82.85,82.86,82.82,82.82,11.0
2025-11-03,20:50:00,82.84,82.93,82.84,82.93,11.0
2025-11-03,20:55:00,82.79,82.82,82.79,82.82,9.0
2025-11-03,21:00:00,82.83,82.84,82.77,82.78,32.0
2025-11-03,21:05:00,82.97,82.97,82.96,82.96,2.0
2025-11-03,21:10:00,82.96,82.97,82.9,82.96,14.0
2025-11-03,21:15:00,83.03,83.03,82.91,82.91,8.0
2025-11-03,21:20:00,82.89,82.92,82.89,82.9,16.0
2025-11-03,21:25:00,82.93,83.02,82.93,83.02,29.0
2025-11-03,21:30:00,82.97,82.97,82.95,82.96,21.0
2025-11-03,21:35:00,82.94,82.97,82.94,82.97,3.0
2025-11-03,21:40:00,82.93,82.96,82.88,82.96,3.0
2025-11-03,21:45:00,82.88,82.97,82.88,82.96,26.0
2025-11-03,21:50:00,83.0,83.0,82.98,82.98,3.0
2025-11-03,21:55:00,83.0,83.0,83.0,83.0,5.0
2025-11-03,22:00:00,83.0,83.04,82.94,82.94,30.0
2025-11-03,22:05:00,83.08,83.17,83.07,83.1,44.0
2025-11-03,22:10:00,83.09,83.16,83.09,83.16,18.0
2025-11-03,22:15:00,83.09,83.09,83.0,83.08,25.0
2025-11-03,22:20:00,83.25,83.44,83.25,83.44,72.0
2025-11-03,22:25:00,83.41,83.56,83.38,83.54,107.0
2025-11-03,22:30:00,83.51,83.66,83.45,83.66,170.0
2025-11-03,22:35:00,83.74,83.79,83.52,83.55,28.0
2025-11-03,22:40:00,83.51,83.57,83.51,83.57,6.0
2025-11-03,22:45:00,83.65,83.65,83.55,83.58,11.0
2025-11-03,22:50:00,83.53,83.53,83.43,83.43,4.0
2025-11-03,22:55:00,83.42,83.46,83.42,83.44,5.0
2025-11-03,23:00:00,83.5,83.53,83.47,83.47,12.0
2025-11-03,23:05:00,83.55,83.55,83.49,83.49,4.0
2025-11-03,23:10:00,83.49,83.52,83.45,83.51,20.0
