datetime,date,time,open,high,low,close,volume
2024-01-02 07:00:00,2024-01-02,07:00:00,84.82,85.57,83.49,83.61,1146.0
2024-01-02 08:00:00,2024-01-02,08:00:00,83.55,83.72,81.29,81.97,3750.0
2024-01-02 09:00:00,2024-01-02,09:00:00,81.97,82.22,81.58,81.86,1407.0
2024-01-02 10:00:00,2024-01-02,10:00:00,81.88,81.93,79.78,80.6,3877.0
2024-01-02 11:00:00,2024-01-02,11:00:00,80.62,81.02,80.51,80.69,1638.0
2024-01-02 12:00:00,2024-01-02,12:00:00,80.69,81.23,80.64,81.19,1252.0
2024-01-02 13:00:00,2024-01-02,13:00:00,81.18,81.18,80.69,80.96,1228.0
2024-01-02 14:00:00,2024-01-02,14:00:00,80.92,80.94,78.91,79.46,2606.0
2024-01-02 15:00:00,2024-01-02,15:00:00,79.5,80.1,79.45,80.05,1620.0
2024-01-02 16:00:00,2024-01-02,16:00:00,80.06,80.82,80.04,80.49,2207.0
2024-01-03 07:00:00,2024-01-03,07:00:00,80.49,81.46,80.33,81.38,1436.0
2024-01-03 08:00:00,2024-01-03,08:00:00,81.39,82,81.39,81.88,2093.0
2024-01-03 09:00:00,2024-01-03,09:00:00,81.84,81.92,81.32,81.87,1140.0
2024-01-03 10:00:00,2024-01-03,10:00:00,81.89,81.92,81.1,81.45,890.0
2024-01-03 11:00:00,2024-01-03,11:00:00,81.46,81.94,81.46,81.62,913.0
2024-01-03 12:00:00,2024-01-03,12:00:00,81.64,81.68,81.13,81.51,821.0
2024-01-03 13:00:00,2024-01-03,13:00:00,81.51,81.82,80.92,81.22,889.0
2024-01-03 14:00:00,2024-01-03,14:00:00,81.22,81.77,81.22,81.65,756.0
2024-01-03 15:00:00,2024-01-03,15:00:00,81.61,82.12,81.56,81.76,1445.0
2024-01-03 16:00:00,2024-01-03,16:00:00,81.81,81.99,81.48,81.81,1554.0
2024-01-04 07:00:00,2024-01-04,07:00:00,81.81,82.61,81.73,82.15,1094.0
2024-01-04 08:00:00,2024-01-04,08:00:00,82.19,82.33,81.66,82.06,898.0
2024-01-04 09:00:00,2024-01-04,09:00:00,82.07,82.51,81.67,82.37,1197.0
2024-01-04 10:00:00,2024-01-04,10:00:00,82.42,82.61,81.62,81.84,1610.0
2024-01-04 11:00:00,2024-01-04,11:00:00,81.84,82.13,81.54,81.77,934.0
2024-01-04 12:00:00,2024-01-04,12:00:00,81.76,81.93,81.47,81.7,738.0
2024-01-04 13:00:00,2024-01-04,13:00:00,81.67,81.67,81.03,81.11,1498.0
2024-01-04 14:00:00,2024-01-04,14:00:00,81.11,81.16,79.15,79.74,3768.0
2024-01-04 15:00:00,2024-01-04,15:00:00,79.79,80.29,79.69,80.15,1467.0
2024-01-04 16:00:00,2024-01-04,16:00:00,80.12,80.36,79.76,80.19,1823.0
2024-01-05 07:00:00,2024-01-05,07:00:00,80.17,80.32,79.53,80.08,878.0
2024-01-05 08:00:00,2024-01-05,08:00:00,80.1,81.03,80.1,80.67,2145.0
2024-01-05 09:00:00,2024-01-05,09:00:00,80.7,81.02,80.43,80.64,929.0
2024-01-05 10:00:00,2024-01-05,10:00:00,80.64,80.92,80.31,80.59,937.0
2024-01-05 11:00:00,2024-01-05,11:00:00,80.6,80.97,80.48,80.72,898.0
2024-01-05 12:00:00,2024-01-05,12:00:00,80.76,80.92,80.55,80.55,731.0
2024-01-05 13:00:00,2024-01-05,13:00:00,80.52,81.09,80.42,80.63,1054.0
2024-01-05 14:00:00,2024-01-05,14:00:00,80.63,80.98,80.46,80.94,982.0
2024-01-05 15:00:00,2024-01-05,15:00:00,80.94,80.99,80.39,80.75,851.0
2024-01-05 16:00:00,2024-01-05,16:00:00,80.81,80.82,80.14,80.46,1395.0
2024-01-08 07:00:00,2024-01-08,07:00:00,80.31,80.52,79.72,79.92,1041.0
2024-01-08 08:00:00,2024-01-08,08:00:00,79.9,80.15,79.07,79.28,2048.0
2024-01-08 09:00:00,2024-01-08,09:00:00,79.24,79.52,78.17,78.39,2792.0
2024-01-08 10:00:00,2024-01-08,10:00:00,78.4,78.54,77.6,78.1,2344.0
2024-01-08 11:00:00,2024-01-08,11:00:00,78.12,78.22,77.69,77.96,1170.0
2024-01-08 12:00:00,2024-01-08,12:00:00,77.94,78.01,77.69,77.71,1653.0
2024-01-08 13:00:00,2024-01-08,13:00:00,77.71,78.07,77.69,77.8,1148.0
2024-01-08 14:00:00,2024-01-08,14:00:00,77.79,78.02,77.12,77.52,2238.0
2024-01-08 15:00:00,2024-01-08,15:00:00,77.55,77.7,76.84,76.86,1778.0
2024-01-08 16:00:00,2024-01-08,16:00:00,76.86,76.92,76.25,76.37,3077.0
2024-01-09 07:00:00,2024-01-09,07:00:00,76.31,76.49,75.44,75.81,2131.0
2024-01-09 08:00:00,2024-01-09,08:00:00,75.81,76.76,75.53,76.39,1544.0
2024-01-09 09:00:00,2024-01-09,09:00:00,76.37,76.51,76.06,76.41,1174.0
2024-01-09 10:00:00,2024-01-09,10:00:00,76.41,76.6,76.2,76.28,1434.0
2024-01-09 11:00:00,2024-01-09,11:00:00,76.27,76.52,76.22,76.48,966.0
2024-01-09 12:00:00,2024-01-09,12:00:00,76.45,77.17,76.37,77.04,1707.0
2024-01-09 13:00:00,2024-01-09,13:00:00,76.99,76.99,75.99,76.22,1747.0
2024-01-09 14:00:00,2024-01-09,14:00:00,76.2,76.41,76.09,76.09,2225.0
2024-01-09 15:00:00,2024-01-09,15:00:00,76.09,76.72,75.92,76.23,2111.0
2024-01-09 16:00:00,2024-01-09,16:00:00,76.27,76.65,76.15,76.38,1822.0
2024-01-10 07:00:00,2024-01-10,07:00:00,76.14,77.12,76.14,76.77,1097.0
2024-01-10 08:00:00,2024-01-10,08:00:00,76.85,76.85,75.27,75.51,2351.0
2024-01-10 09:00:00,2024-01-10,09:00:00,75.47,75.53,74.69,74.9,4069.0
2024-01-10 10:00:00,2024-01-10,10:00:00,74.94,75.2,74.82,75.19,1501.0
2024-01-10 11:00:00,2024-01-10,11:00:00,75.19,75.25,75.05,75.07,1277.0
2024-01-10 12:00:00,2024-01-10,12:00:00,75.06,75.13,74.57,74.58,1586.0
2024-01-10 13:00:00,2024-01-10,13:00:00,74.57,74.76,73.57,74.08,3991.0
2024-01-10 14:00:00,2024-01-10,14:00:00,74.08,74.69,73.84,74.39,2241.0
2024-01-10 15:00:00,2024-01-10,15:00:00,74.42,74.45,73.9,73.99,1177.0
2024-01-10 16:00:00,2024-01-10,16:00:00,73.99,74.46,73.99,74.33,2156.0
2024-01-11 07:00:00,2024-01-11,07:00:00,74.4,74.63,73.46,73.69,1456.0
2024-01-11 08:00:00,2024-01-11,08:00:00,73.69,73.92,72.94,73.87,3104.0
2024-01-11 09:00:00,2024-01-11,09:00:00,73.86,73.92,73.37,73.92,1872.0
2024-01-11 10:00:00,2024-01-11,10:00:00,73.9,74.08,73.72,73.75,1544.0
2024-01-11 11:00:00,2024-01-11,11:00:00,73.78,73.82,72.86,72.87,2995.0
2024-01-11 12:00:00,2024-01-11,12:00:00,72.84,72.84,72.08,72.3,3239.0
2024-01-11 13:00:00,2024-01-11,13:00:00,72.25,72.82,72.25,72.77,1955.0
2024-01-11 14:00:00,2024-01-11,14:00:00,72.77,72.82,71.5,71.71,2934.0
2024-01-11 15:00:00,2024-01-11,15:00:00,71.74,72.14,71.3,72.07,2969.0
2024-01-11 16:00:00,2024-01-11,16:00:00,72.03,72.38,71.99,72.22,1931.0
2024-01-12 07:00:00,2024-01-12,07:00:00,72.37,73.77,72.12,72.39,1759.0
2024-01-12 08:00:00,2024-01-12,08:00:00,72.39,72.57,71.81,72.49,1823.0
2024-01-12 09:00:00,2024-01-12,09:00:00,72.47,72.68,72.01,72.58,1436.0
2024-01-12 10:00:00,2024-01-12,10:00:00,72.58,72.62,72.25,72.62,2061.0
2024-01-12 11:00:00,2024-01-12,11:00:00,72.59,72.76,72.39,72.42,1616.0
2024-01-12 12:00:00,2024-01-12,12:00:00,72.42,72.42,71.03,71.24,3229.0
2024-01-12 13:00:00,2024-01-12,13:00:00,71.18,71.27,70.39,70.64,3213.0
2024-01-12 14:00:00,2024-01-12,14:00:00,70.63,70.63,69.05,69.13,5491.0
2024-01-12 15:00:00,2024-01-12,15:00:00,69.18,70.32,69.12,70.11,2513.0
2024-01-12 16:00:00,2024-01-12,16:00:00,70.12,70.37,69.91,70.13,1641.0
2024-01-15 07:00:00,2024-01-15,07:00:00,70.32,70.35,68.93,68.97,1861.0
2024-01-15 08:00:00,2024-01-15,08:00:00,69.01,69.81,69.01,69.44,1918.0
2024-01-15 09:00:00,2024-01-15,09:00:00,69.44,70.27,69.03,70.17,2552.0
2024-01-15 10:00:00,2024-01-15,10:00:00,70.21,70.24,69.63,69.9,1772.0
2024-01-15 11:00:00,2024-01-15,11:00:00,69.93,70.17,69.86,70.09,797.0
2024-01-15 12:00:00,2024-01-15,12:00:00,70.07,70.21,69.04,69.45,2363.0
2024-01-15 13:00:00,2024-01-15,13:00:00,69.47,70.01,69.42,69.89,1728.0
2024-01-15 14:00:00,2024-01-15,14:00:00,69.93,71.07,69.76,70.67,2435.0
2024-01-15 15:00:00,2024-01-15,15:00:00,70.72,71.84,70.46,71.42,3417.0
2024-01-15 16:00:00,2024-01-15,16:00:00,71.4,71.69,71.17,71.22,2577.0
2024-01-16 07:00:00,2024-01-16,07:00:00,71.3,71.72,70.22,70.54,1678.0
2024-01-16 08:00:00,2024-01-16,08:00:00,70.53,70.74,69.92,70.11,2298.0
2024-01-16 09:00:00,2024-01-16,09:00:00,70.08,70.16,69.52,69.72,2427.0
2024-01-16 10:00:00,2024-01-16,10:00:00,69.73,70.06,69.42,69.79,2418.0
2024-01-16 11:00:00,2024-01-16,11:00:00,69.77,70.62,69.34,70.55,2337.0
2024-01-16 12:00:00,2024-01-16,12:00:00,70.51,70.62,70.17,70.6,1358.0
2024-01-16 13:00:00,2024-01-16,13:00:00,70.6,71.16,70.6,71.03,2181.0
2024-01-16 14:00:00,2024-01-16,14:00:00,71.03,71.46,69.96,70.32,2719.0
2024-01-16 15:00:00,2024-01-16,15:00:00,70.33,70.36,69.69,69.69,2025.0
2024-01-16 16:00:00,2024-01-16,16:00:00,69.72,70.02,69.69,69.81,2083.0
2024-01-17 07:00:00,2024-01-17,07:00:00,69.71,70.44,69.21,70.22,1456.0
2024-01-17 08:00:00,2024-01-17,08:00:00,70.18,70.2,68.85,69.44,2688.0
2024-01-17 09:00:00,2024-01-17,09:00:00,69.46,69.95,69.27,69.62,2483.0
2024-01-17 10:00:00,2024-01-17,10:00:00,69.56,70.08,69.09,69.49,2991.0
2024-01-17 11:00:00,2024-01-17,11:00:00,69.45,69.67,69.36,69.54,826.0
2024-01-17 12:00:00,2024-01-17,12:00:00,69.52,69.57,68.22,68.38,3696.0
2024-01-17 13:00:00,2024-01-17,13:00:00,68.38,68.67,67.87,68.1,2963.0
2024-01-17 14:00:00,2024-01-17,14:00:00,68.14,68.25,67.46,67.63,2963.0
2024-01-17 15:00:00,2024-01-17,15:00:00,67.63,67.92,67.18,67.22,2972.0
2024-01-17 16:00:00,2024-01-17,16:00:00,67.26,67.94,67.26,67.63,1903.0
2024-01-18 07:00:00,2024-01-18,07:00:00,67.43,68.2,67.41,67.92,902.0
2024-01-18 08:00:00,2024-01-18,08:00:00,67.91,68.45,67.44,68.05,1920.0
2024-01-18 09:00:00,2024-01-18,09:00:00,68.01,68.29,67.53,67.98,1924.0
2024-01-18 10:00:00,2024-01-18,10:00:00,67.98,68.19,66.78,67.52,2843.0
2024-01-18 11:00:00,2024-01-18,11:00:00,67.47,68.07,67.33,67.65,1204.0
2024-01-18 12:00:00,2024-01-18,12:00:00,67.67,68.07,67.3,67.72,1046.0
2024-01-18 13:00:00,2024-01-18,13:00:00,67.72,67.72,67.08,67.44,1806.0
2024-01-18 14:00:00,2024-01-18,14:00:00,67.47,67.89,67.07,67.31,1869.0
2024-01-18 15:00:00,2024-01-18,15:00:00,67.3,67.51,66.84,67.47,1337.0
2024-01-18 16:00:00,2024-01-18,16:00:00,67.51,67.82,67.28,67.6,1882.0
2024-01-19 07:00:00,2024-01-19,07:00:00,67.69,68.2,67.66,67.81,730.0
2024-01-19 08:00:00,2024-01-19,08:00:00,67.8,67.8,67.32,67.35,1494.0
2024-01-19 09:00:00,2024-01-19,09:00:00,67.35,67.72,67.25,67.61,1529.0
2024-01-19 10:00:00,2024-01-19,10:00:00,67.59,68.67,67.59,67.89,2794.0
2024-01-19 11:00:00,2024-01-19,11:00:00,67.9,68.17,67.87,68.01,1106.0
2024-01-19 12:00:00,2024-01-19,12:00:00,68.01,68.23,67.84,67.88,1238.0
2024-01-19 13:00:00,2024-01-19,13:00:00,67.89,68.05,67.74,67.9,1294.0
2024-01-19 14:00:00,2024-01-19,14:00:00,67.9,68.25,67.83,68.14,1228.0
2024-01-19 15:00:00,2024-01-19,15:00:00,68.16,68.18,67.84,67.93,1393.0
2024-01-19 16:00:00,2024-01-19,16:00:00,67.92,68.11,67.67,67.74,1403.0
2024-01-22 07:00:00,2024-01-22,07:00:00,67.47,67.47,65.72,66.33,2945.0
2024-01-22 08:00:00,2024-01-22,08:00:00,66.33,66.73,66.28,66.35,1908.0
2024-01-22 09:00:00,2024-01-22,09:00:00,66.35,66.59,66.11,66.42,1971.0
2024-01-22 10:00:00,2024-01-22,10:00:00,66.36,66.36,65.74,66.08,2035.0
2024-01-22 11:00:00,2024-01-22,11:00:00,66.09,66.17,65.89,65.96,661.0
2024-01-22 12:00:00,2024-01-22,12:00:00,65.97,66.16,65.52,65.54,1702.0
2024-01-22 13:00:00,2024-01-22,13:00:00,65.57,65.82,65.18,65.36,2577.0
2024-01-22 14:00:00,2024-01-22,14:00:00,65.37,65.91,65.34,65.62,2037.0
2024-01-22 15:00:00,2024-01-22,15:00:00,65.62,66.22,65.61,66.1,1539.0
2024-01-22 16:00:00,2024-01-22,16:00:00,66.11,67.14,66.05,66.73,2728.0
2024-01-23 07:00:00,2024-01-23,07:00:00,66.43,67.03,66.15,66.51,1359.0
2024-01-23 08:00:00,2024-01-23,08:00:00,66.53,68.12,66.3,67.89,3383.0
2024-01-23 09:00:00,2024-01-23,09:00:00,67.94,68.05,66.99,67.22,2823.0
2024-01-23 10:00:00,2024-01-23,10:00:00,67.22,67.58,66.84,66.91,1478.0
2024-01-23 11:00:00,2024-01-23,11:00:00,66.93,67.18,66.47,66.5,953.0
2024-01-23 12:00:00,2024-01-23,12:00:00,66.47,66.68,66.05,66.18,1350.0
2024-01-23 13:00:00,2024-01-23,13:00:00,66.18,67.08,65.92,66.91,1670.0
2024-01-23 14:00:00,2024-01-23,14:00:00,66.88,67.72,66.45,67.72,2097.0
2024-01-23 15:00:00,2024-01-23,15:00:00,67.68,67.82,66.91,66.91,1639.0
2024-01-23 16:00:00,2024-01-23,16:00:00,66.93,67.77,66.93,67.59,2279.0
2024-01-24 07:00:00,2024-01-24,07:00:00,67.68,69.12,67.43,69.06,1820.0
2024-01-24 08:00:00,2024-01-24,08:00:00,69.01,69.32,68.57,69.3,2690.0
2024-01-24 09:00:00,2024-01-24,09:00:00,69.32,69.68,68.72,69.03,2832.0
2024-01-24 10:00:00,2024-01-24,10:00:00,69.1,69.29,68.72,69.16,1681.0
2024-01-24 11:00:00,2024-01-24,11:00:00,69.17,69.19,68.35,68.72,1748.0
2024-01-24 12:00:00,2024-01-24,12:00:00,68.71,69.12,68.32,68.86,1360.0
