Symbol,DateTime,  Open, High, Low, Close, Volume,OI
CKZ24,2024-01-02,80.5,81.25,74.59,75.96,22440,246427
CKZ24,2024-01-03,76.17,77.8,76.01,77.35,15814,245981
CKZ24,2024-01-04,77.49,78.29,74.83,75.82,18261,247085
CKZ24,2024-01-05,75.85,76.77,75.21,76.35,12276,246559
CKZ24,2024-01-08,75.99,76.2,71.93,72.42,21593,247220
CKZ24,2024-01-09,71.99,72.85,71.12,71.94,18152,247917
CKZ24,2024-01-10,71.82,72.8,69.25,69.99,23712,252367
CKZ24,2024-01-11,70.08,70.31,66.98,67.92,30136,256467
CKZ24,2024-01-12,68.05,69.45,64.73,65.81,30253,260801
CKZ24,2024-01-15,66,67.52,64.61,67.25,25102,259218
CKZ24,2024-01-16,66.98,67.4,65.02,65.59,26136,260611
CKZ24,2024-01-17,65.39,66.12,62.86,63.15,29878,261762
CKZ24,2024-01-18,63.11,64.13,62.46,63.01,22395,263531
CKZ24,2024-01-19,63.37,64.35,62.93,63.65,20192,264703
CKZ24,2024-01-22,63.15,63.15,60.86,62.04,25424,265672
CKZ24,2024-01-23,62.11,63.8,61.6,63.05,24453,264950
CKZ24,2024-01-24,63.36,66.11,63.11,65.82,26517,263929
CKZ24,2024-01-25,66.15,66.43,62.88,63.21,31173,268418
CKZ24,2024-01-26,63.15,65.15,62,63.58,25932,269839
CKZ24,2024-01-29,63.6,64.13,61.57,61.78,28387,269994
CKZ24,2024-01-30,61.71,64.02,61.23,63.51,29131,272609
CKZ24,2024-01-31,63.98,65.15,62.94,64.16,23711,272614
CKZ24,2024-02-01,64.16,64.88,62.08,62.19,27170,275328
CKZ24,2024-02-02,61.97,64.38,61.9,63.4,25593,275630
CKZ24,2024-02-05,63.8,64.45,62.07,62.67,22594,277917
CKZ24,2024-02-06,62.79,63.97,62,63.58,22237,278078
CKZ24,2024-02-07,63.35,63.7,62.24,62.41,19327,277076
CKZ24,2024-02-08,62.5,62.5,60.26,60.78,29403,280639
CKZ24,2024-02-09,60.68,60.68,58.2,58.79,31446,284512
CKZ24,2024-02-12,58.64,58.81,56.59,56.89,27933,286130
CKZ24,2024-02-13,57.2,58,55.61,56.43,32485,287140
CKZ24,2024-02-14,56.65,57.58,55.41,56.63,29361,286484
CKZ24,2024-02-15,56.44,59.05,56.13,57.91,31537,285842
CKZ24,2024-02-16,57.86,58.21,56.27,57.17,23354,286053
CKZ24,2024-02-19,57.11,57.11,52.9,53.54,37617,290705
CKZ24,2024-02-20,53.5,55.07,51.72,54.31,35225,288407
CKZ24,2024-02-21,54.05,54.98,53.27,54.55,23689,288096
CKZ24,2024-02-22,54.31,54.49,52.37,52.8,31325,289539
CKZ24,2024-02-23,52.8,53.01,51.08,52.22,31097,289803
CKZ24,2024-02-26,52.16,54.55,51.55,53.97,30666,289628
CKZ24,2024-02-27,53.76,56.26,52.45,55.68,36340,287829
CKZ24,2024-02-28,56.2,58.88,55.45,57.84,46006,283709
CKZ24,2024-02-29,57.53,57.83,55.25,56,33973,281610
CKZ24,2024-03-01,56.03,56.85,55.05,56.37,24889,282907
CKZ24,2024-03-04,56.35,57.8,53.42,57.03,40357,286353
CKZ24,2024-03-05,57.28,61.39,56.7,60.54,59671,282222
CKZ24,2024-03-06,60.25,62.8,58.05,59.23,53980,282480
CKZ24,2024-03-07,58.79,61.09,57.4,59.16,45344,285313
CKZ24,2024-03-08,59,60.24,57.8,58.39,32550,287330
CKZ24,2024-03-11,58,58.39,55.77,56.21,32853,289219
CKZ24,2024-03-12,56.26,57.08,55.21,56.51,34864,289607
CKZ24,2024-03-13,56.86,57.92,55.53,56.04,33194,293878
CKZ24,2024-03-14,55.94,59.36,55.02,58.45,37897,289989
CKZ24,2024-03-15,58.8,60.25,58.14,59.39,38703,294097
CKZ24,2024-03-18,59.45,62.34,59.45,61.43,41647,295129
CKZ24,2024-03-19,61.41,62.89,59.5,60.84,32342,293112
CKZ24,2024-03-20,61.3,61.46,59.97,60.62,24031,292958
CKZ24,2024-03-21,60.18,60.3,58.8,59.07,28068,294791
CKZ24,2024-03-22,59.15,62.06,58.8,61.51,31005,297063
CKZ24,2024-03-25,61.69,65.49,61.68,65,36881,297131
CKZ24,2024-03-26,64.64,65.78,62.16,62.28,39899,299462
CKZ24,2024-03-27,62.5,63.31,61.04,62.43,29533,303156
CKZ24,2024-03-28,62.5,62.89,61.32,61.8,21555,305049
CKZ24,2024-04-02,61.48,61.5,58.56,58.72,31990,305461
CKZ24,2024-04-03,59.29,59.49,56.9,57.41,26576,303974
CKZ24,2024-04-04,57.09,59.24,57.09,58.5,26054,303135
CKZ24,2024-04-05,58.36,61.15,58.25,60.58,30835,301216
CKZ24,2024-04-08,60.9,63.8,59.69,63.51,37163,301156
CKZ24,2024-04-09,63.39,64.64,62.5,64.07,41638,290662
CKZ24,2024-04-10,63.82,65.1,62.29,62.87,30554,292220
CKZ24,2024-04-11,63.25,68.95,62.8,68.03,54795,290698
CKZ24,2024-04-12,68.6,71.87,68.06,71.55,52417,289544
CKZ24,2024-04-15,71.6,71.64,69.1,70.55,35524,287937
CKZ24,2024-04-16,70.25,74.9,69.75,73.62,43735,286818
CKZ24,2024-04-17,74.13,74.5,69.23,69.98,42918,285563
CKZ24,2024-04-18,69.9,72.29,68.15,71.53,40868,283273
CKZ24,2024-04-19,72.51,73.3,68.1,68.81,32412,282241
CKZ24,2024-04-22,68.09,68.19,66.01,66.33,38294,286331
CKZ24,2024-04-23,66.24,67.24,65.34,65.67,31308,288230
CKZ24,2024-04-24,66.25,67.47,64.75,66.47,30108,292075
CKZ24,2024-04-25,67,69.97,66.54,68.39,36770,295607
CKZ24,2024-04-26,68.21,69.2,66.57,66.92,21468,297800
CKZ24,2024-04-29,67,67.36,65.01,65.49,21882,299350
CKZ24,2024-04-30,65.95,69.6,65.38,68.52,31133,300518
CKZ24,2024-05-01,69.19,69.26,67.35,67.82,13263,300835
CKZ24,2024-05-02,67.88,73.19,67.21,72.51,48552,305873
CKZ24,2024-05-03,72.53,74.56,71.37,72.01,34658,304693
CKZ24,2024-05-06,71.74,74.49,71.48,73.2,20614,306017
CKZ24,2024-05-07,73.25,74.3,70.5,70.98,37056,311125
CKZ24,2024-05-08,70.89,72.8,69.58,71.69,26168,311572
CKZ24,2024-05-09,71.39,74.08,71.13,73.26,17429,312377
CKZ24,2024-05-10,73.5,75.5,71.27,71.91,25330,313285
CKZ24,2024-05-13,71.33,71.49,68.7,69.81,30747,313456
