date,time,open,high,low,close,volume
2024-01-02,07:00,80.5,81.25,79.17,79.29,1146
2024-01-02,08:00,79.23,79.4,76.97,77.65,3750
2024-01-02,09:00,77.65,77.9,77.26,77.54,1407
2024-01-02,10:00,77.56,77.61,75.46,76.28,3877
2024-01-02,11:00,76.3,76.7,76.19,76.37,1638
2024-01-02,12:00,76.37,76.91,76.32,76.87,1252
2024-01-02,13:00,76.86,76.86,76.37,76.64,1228
2024-01-02,14:00,76.6,76.62,74.59,75.14,2606
2024-01-02,15:00,75.18,75.78,75.13,75.73,1620
2024-01-02,16:00,75.74,76.5,75.72,76.17,2207
2024-01-03,07:00,76.17,77.14,76.01,77.06,1436
2024-01-03,08:00,77.07,77.68,77.07,77.56,2093
2024-01-03,09:00,77.52,77.6,77,77.55,1140
2024-01-03,10:00,77.57,77.6,76.78,77.13,890
2024-01-03,11:00,77.14,77.62,77.14,77.3,913
2024-01-03,12:00,77.32,77.36,76.81,77.19,821
2024-01-03,13:00,77.19,77.5,76.6,76.9,889
2024-01-03,14:00,76.9,77.45,76.9,77.33,756
2024-01-03,15:00,77.29,77.8,77.24,77.44,1445
2024-01-03,16:00,77.49,77.67,77.16,77.49,1554
2024-01-04,07:00,77.49,78.29,77.41,77.83,1094
2024-01-04,08:00,77.87,78.01,77.34,77.74,898
2024-01-04,09:00,77.75,78.19,77.35,78.05,1197
2024-01-04,10:00,78.1,78.29,77.3,77.52,1610
2024-01-04,11:00,77.52,77.81,77.22,77.45,934
2024-01-04,12:00,77.44,77.61,77.15,77.38,738
2024-01-04,13:00,77.35,77.35,76.71,76.79,1498
2024-01-04,14:00,76.79,76.84,74.83,75.42,3768
2024-01-04,15:00,75.47,75.97,75.37,75.83,1467
2024-01-04,16:00,75.8,76.04,75.44,75.87,1823
2024-01-05,07:00,75.85,76,75.21,75.76,878
2024-01-05,08:00,75.78,76.71,75.78,76.35,2145
2024-01-05,09:00,76.38,76.7,76.11,76.32,929
2024-01-05,10:00,76.32,76.6,75.99,76.27,937
2024-01-05,11:00,76.28,76.65,76.16,76.4,898
2024-01-05,12:00,76.44,76.6,76.23,76.23,731
2024-01-05,13:00,76.2,76.77,76.1,76.31,1054
2024-01-05,14:00,76.31,76.66,76.14,76.62,982
2024-01-05,15:00,76.62,76.67,76.07,76.43,851
2024-01-05,16:00,76.49,76.5,75.82,76.14,1395
2024-01-08,07:00,75.99,76.2,75.4,75.6,1041
2024-01-08,08:00,75.58,75.83,74.75,74.96,2048
2024-01-08,09:00,74.92,75.2,73.85,74.07,2792
2024-01-08,10:00,74.08,74.22,73.28,73.78,2344
2024-01-08,11:00,73.8,73.9,73.37,73.64,1170
2024-01-08,12:00,73.62,73.69,73.37,73.39,1653
2024-01-08,13:00,73.39,73.75,73.37,73.48,1148
2024-01-08,14:00,73.47,73.7,72.8,73.2,2238
2024-01-08,15:00,73.23,73.38,72.52,72.54,1778
2024-01-08,16:00,72.54,72.6,71.93,72.05,3077
2024-01-09,07:00,71.99,72.17,71.12,71.49,2131
2024-01-09,08:00,71.49,72.44,71.21,72.07,1544
2024-01-09,09:00,72.05,72.19,71.74,72.09,1174
2024-01-09,10:00,72.09,72.28,71.88,71.96,1434
2024-01-09,11:00,71.95,72.2,71.9,72.16,966
2024-01-09,12:00,72.13,72.85,72.05,72.72,1707
2024-01-09,13:00,72.67,72.67,71.67,71.9,1747
2024-01-09,14:00,71.88,72.09,71.77,71.77,2225
2024-01-09,15:00,71.77,72.4,71.6,71.91,2111
2024-01-09,16:00,71.95,72.33,71.83,72.06,1822
2024-01-10,07:00,71.82,72.8,71.82,72.45,1097
2024-01-10,08:00,72.53,72.53,70.95,71.19,2351
2024-01-10,09:00,71.15,71.21,70.37,70.58,4069
2024-01-10,10:00,70.62,70.88,70.5,70.87,1501
2024-01-10,11:00,70.87,70.93,70.73,70.75,1277
2024-01-10,12:00,70.74,70.81,70.25,70.26,1586
2024-01-10,13:00,70.25,70.44,69.25,69.76,3991
2024-01-10,14:00,69.76,70.37,69.52,70.07,2241
2024-01-10,15:00,70.1,70.13,69.58,69.67,1177
2024-01-10,16:00,69.67,70.14,69.67,70.01,2156
2024-01-11,07:00,70.08,70.31,69.14,69.37,1456
2024-01-11,08:00,69.37,69.6,68.62,69.55,3104
2024-01-11,09:00,69.54,69.6,69.05,69.6,1872
2024-01-11,10:00,69.58,69.76,69.4,69.43,1544
2024-01-11,11:00,69.46,69.5,68.54,68.55,2995
2024-01-11,12:00,68.52,68.52,67.76,67.98,3239
2024-01-11,13:00,67.93,68.5,67.93,68.45,1955
2024-01-11,14:00,68.45,68.5,67.18,67.39,2934
2024-01-11,15:00,67.42,67.82,66.98,67.75,2969
2024-01-11,16:00,67.71,68.06,67.67,67.9,1931
