date,time,open,high,low,close,volume
2026-01-05,07:00:00,88.09,88.17,87.64,87.81,2466.0
2026-01-05,08:00:00,87.82,87.91,87.45,87.68,2125.0
2026-01-05,09:00:00,87.67,88.07,87.54,88.05,1917.0
2026-01-05,10:00:00,88.05,88.53,88.02,88.5,2169.0
2026-01-05,11:00:00,88.48,88.69,88.46,88.55,1374.0
2026-01-05,12:00:00,88.56,88.78,88.25,88.28,1352.0
2026-01-05,13:00:00,88.28,88.3,87.61,87.61,3300.0
2026-01-05,14:00:00,87.62,87.74,87.06,87.4,3743.0
2026-01-05,15:00:00,87.39,87.5,87.16,87.3,2221.0
2026-01-05,16:00:00,87.3,87.34,87.05,87.14,2954.0
2026-01-06,07:00:00,87.51,87.59,87.17,87.25,1884.0
2026-01-06,08:00:00,87.25,87.78,87.13,87.7,2065.0
2026-01-06,09:00:00,87.67,87.89,87.4,87.77,1793.0
2026-01-06,10:00:00,87.78,87.95,87.65,87.68,1446.0
2026-01-06,11:00:00,87.68,87.68,87.29,87.48,1425.0
2026-01-06,12:00:00,87.5,87.65,87.41,87.45,994.0
2026-01-06,13:00:00,87.44,87.88,87.41,87.76,2236.0
2026-01-06,14:00:00,87.74,88.0,87.7,87.9,2621.0
2026-01-06,15:00:00,87.89,88.15,87.75,88.02,2839.0
2026-01-06,16:00:00,88.0,88.15,87.87,87.98,1718.0
2026-01-07,07:00:00,88.2,88.5,88.1,88.36,1603.0
2026-01-07,08:00:00,88.36,88.36,88.11,88.18,1550.0
2026-01-07,09:00:00,88.18,88.55,88.15,88.29,2012.0
2026-01-07,10:00:00,88.28,88.75,88.28,88.67,3089.0
2026-01-07,11:00:00,88.68,88.72,88.49,88.56,1410.0
2026-01-07,12:00:00,88.55,88.56,88.27,88.27,1242.0
2026-01-07,13:00:00,88.3,88.3,87.84,87.98,3027.0
2026-01-07,14:00:00,87.98,88.18,87.92,88.13,1578.0
2026-01-07,15:00:00,88.12,88.2,87.86,88.01,1502.0
2026-01-07,16:00:00,88.03,88.19,87.76,87.81,1920.0
2026-01-08,07:00:00,87.6,87.6,87.1,87.43,3232.0
2026-01-08,08:00:00,87.45,87.71,87.36,87.61,2019.0
2026-01-08,09:00:00,87.64,87.67,87.35,87.53,1542.0
2026-01-08,10:00:00,87.54,87.81,87.39,87.75,2436.0
2026-01-08,11:00:00,87.72,87.84,87.45,87.62,1570.0
2026-01-08,12:00:00,87.61,87.82,87.54,87.57,1052.0
2026-01-08,13:00:00,87.57,87.61,87.46,87.5,1493.0
2026-01-08,14:00:00,87.51,87.77,87.41,87.62,1685.0
2026-01-08,15:00:00,87.64,88.22,87.64,88.07,2659.0
2026-01-08,16:00:00,88.08,88.34,88.08,88.32,2134.0
2026-01-09,07:00:00,88.39,88.75,88.03,88.41,1957.0
2026-01-09,08:00:00,88.41,88.41,88.05,88.19,1493.0
2026-01-09,09:00:00,88.2,88.59,88.06,88.56,1771.0
2026-01-09,10:00:00,88.57,88.75,88.45,88.5,3107.0
2026-01-09,11:00:00,88.5,88.75,88.41,88.51,1151.0
2026-01-09,12:00:00,88.54,89.06,88.5,88.89,3506.0
2026-01-09,13:00:00,88.9,89.58,88.75,89.36,4306.0
2026-01-09,14:00:00,89.37,89.49,89.13,89.39,2651.0
2026-01-09,15:00:00,89.4,89.66,89.32,89.5,2586.0
2026-01-09,16:00:00,89.48,89.63,89.44,89.52,2685.0
